mass[Msun]          Fe[Msun]                #data from Fig. 12 Sukhbold et al. (2016)
9.399317406143345   0.006235565819861427
9.617747440273037   0.010392609699769045
9.781569965870307   0.0161662817551963
9.918088737201366   0.023556581986143188
9.97269624573379    0.026558891454965344
10.136518771331058  0.028175519630485008
10.245733788395905  0.028868360277136268
10.35494880546075   0.024480369515011535
10.491467576791809  0.018244803695150136
10.737201365187714  0.030715935334872962
11.010238907849828  0.017782909930715934
11.255972696245735  0.019168591224018483
11.501706484641637  0.02494226327944571
11.747440273037544  0.018244803695150136
11.802047781569966  0.021709006928406466
11.856655290102388  0.026327944572748258
11.938566552901024  0.030946882217090077
11.965870307167236  0.03510392609699767
12.02047781569966   0.0397228637413395
12.04778156996587   0.044110854503464206
12.102389078498295  0.050115473441108546
12.156996587030719  0.05519630484988454
12.211604095563139  0.05958429561200923
12.238907849829353  0.06304849884526559
12.484641638225257  0.05912240184757507
12.757679180887372  0.060277136258660505
12.976109215017066  0.06443418013856814
13.085324232081913  0.05866050808314088
13.22184300341297   0.05866050808314088
13.331058020477816  0.05935334872979216
13.358361774744028  0.060508083140877605
13.494880546075088  0.0628175519630485
13.604095563139932  0.06997690531177829
13.686006825938566  0.06812933025404157
13.795221843003414  0.06951501154734412
13.904436860068262  0.06928406466512703
13.986348122866897  0.06789838337182448
14.095563139931741  0.06720554272517322
14.177474402730375  0.06581986143187067
14.286689419795223  0.06812933025404157
14.395904436860068  0.06951501154734412
14.395904436860068  0.07159353348729793
14.450511945392492  0.07436489607390301
14.477815699658702  0.07713625866050809
14.58703071672355   0.07113163972286375
14.696245733788398  0.07782909930715935
14.778156996587033  0.07159353348729793
14.887372013651877  0.0748267898383372
15.187713310580207  0.07090069284064665
15.706484641638227  0.07528868360277136
15.788395904436861  0.07413394919168592
15.979522184300343  0.07528868360277136
16.088737201365188  0.07829099307159354
16.197952218430036  0.0766743648960739
16.30716723549488   0.07852193995381063
16.389078498293514  0.0748267898383372
16.498293515358363  0.0745958429561201
16.580204778156997  0.07852193995381063
16.716723549488055  0.07736720554272518
16.79863481228669   0.07806004618937644
16.907849829351537  0.07759815242494227
16.98976109215017   0.07505773672055428
17.071672354948806  0.07759815242494227
17.2901023890785    0.07806004618937644
17.48122866894198   0.07551963048498846
17.590443686006825  0.07736720554272518
17.918088737201366  0.07736720554272518
18.191126279863482  0.07598152424942263
18.273037542662117  0.07713625866050809
18.409556313993175  0.0766743648960739
18.49146757679181   0.07136258660508084
19.20136518771331   0.07759815242494227
19.28327645051195   0.06558891454965358
19.69283276450512   0.05519630484988454
19.774744027303758  0.07182448036951503
20.102389078498295  0.09769053117782911
20.18430034129693   0.060277136258660505
20.293515358361777  0.0909930715935335
20.40273037542662   0.054272517321016164
20.51194539249147   0.05219399538106234
20.812286689419796  0.05681293302540416
20.97610921501707   0.0745958429561201
21.112627986348127  0.07852193995381063
21.194539249146757  0.05981524249422633
21.494880546075088  0.08290993071593535
21.604095563139936  0.07713625866050809
21.986348122866897  0.08198614318706698
25                  0.11990740740740741
25.194444444444443  0.12222222222222223
25.388888888888886  0.1050925925925926
25.486111111111107  0.12291666666666667
25.694444444444443  0.06805555555555555
25.791666666666664  0.06550925925925927
25.875              0.1162037037037037
25.986111111111107  0.1252314814814815
26.083333333333332  0.10810185185185187
26.194444444444443  0.11203703703703705
26.291666666666664  0.11157407407407408
26.388888888888886  0.1252314814814815
26.486111111111107  0.12037037037037038
26.583333333333332  0.11435185185185186
26.666666666666664  0.10925925925925925
26.833333333333332  0.09837962962962964
26.986111111111107  0.08912037037037038
27.083333333333332  0.10115740740740742
27.180555555555554  0.006018518518518506
27.305555555555554  0.005787037037037035
27.791666666666664  0.006712962962962976
60                  0.06458333333333334
120                 0.04791666666666668

